,name,rating,reviews,ctype,hq,old,employees
9,Cgi Group,4.2,(2k Reviews),Private,"Montreal,Quebec + 13 more",46 years old,10k-50k Employees (India)
10,Arvind Group,4.1,(2.4k Reviews),Public,"Ahmedabad,Gujrat + 126 more",91 years old,10k-50k Employees (India)
11,CMS IT Services,3.2,(2k Reviews),Private,"Bangalore,Karnataka + 120 more",8 years old,5k-10k Employees (India)
12,Alkem Laboratori...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 120 more",49 years old,10k-50k Employees (India)
13,Glenmark Pharmac...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 111 more",45 years old,10k-50k Employees (India)
14,ABB Group,4.1,(2k Reviews),Public,Zurich + 84 more,21 years old,10k-50k Employees (India)
15,Suzlon Group,4.1,(2k Reviews),Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India)
16,DTDC Express,3.9,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 192 more",32 years old,5k-10k Employees (India)
17,Deutsche Bank,4.2,(2.2k Reviews),Private,Frankfurt + 28 more,152 years old,10k-50k Employees (India)
18,Piramal Capital ...,4.3,(2k Reviews),Mumbai + 225 more,4 years old,1k-5k Employees (India),
19,Pidilite Industr...,4.3,(2.1k Reviews),Public,"Mumbai,Maharashtra + 181 more",63 years old,5k-10k Employees (India)
20,Honda Motorcycle...,4.2,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 170 more",23 years old,1k-5k Employees (India)
21,McDonald's,4.3,(2k Reviews),Private,"Chicago,Illinois + 122 more",67 years old,5k-10k Employees (India)
22,Havells,4.2,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 129 more",39 years old,5k-10k Employees (India)
23,DCB Bank,4.0,(1.9k Reviews),Private,"Mumbai,Maharashtra + 246 more",92 years old,5k-10k Employees (India)
24,Ipca Laboratorie...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 102 more",73 years old,10k-50k Employees (India)
25,CARS24,3.7,(2k Reviews),Private,"Gurgaon,Haryana + 130 more",7 years old,5k-10k Employees (India)
26,Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 388 more",22 years old,10k-50k Employees (India)
27,L&T Technology S...,3.4,(1.9k Reviews),Public,"Vadodara/Baroda,Gujarat + 24 more",10 years old,10k-50k Employees (India)
28,Standard Charter...,4.1,(5.7k Reviews),Private,London + 57 more,53 years old,10k-50k Employees (India)
29,Lava Internation...,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 201 more",13 years old,1k-5k Employees (India)
0,Bajaj Electrical...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 164 more",84 years old,5k-10k Employees (India)
1,Indian Oil Corpo...,4.3,(2.1k Reviews),Private,"Delhi/NCR,Delhi + 185 more",63 years old,10k-50k Employees (India)
2,Hindalco Industr...,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 67 more",64 years old,10k-50k Employees (India)
3,24/7 Customer,3.6,(1.9k Reviews),Private,"San Jose,California + 22 more",22 years old,5k-10k Employees (India)
4,Conduent,3.7,(1.9k Reviews),Private,"Florham Park,New Jersey + 18 more",5 years old,5k-10k Employees (India)
5,MRF Tyres,3.6,(2k Reviews),Public,"Chennai,Tamil Nadu + 159 more",76 years old,10k-50k Employees (India)
6,Maersk,4.4,(2.3k Reviews),Private,Copenhagen + 22 more,118 years old,10k-50k Employees (India)
7,Titan Company,4.4,(2.6k Reviews),Public,"Mumbai,Maharashtra + 124 more",4 years old,5k-10k Employees (India)
8,KocharTech,4.4,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 19 more",27 years old,1k-5k Employees (India)
9,Team Lease,4.0,(1.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 205 more",6 years old,1k-5k Employees (India)
10,Vishal Mega Mart,3.9,(1.8k Reviews),Private,"Ahmedabad,Gujrat + 252 more",14 years old,10k-50k Employees (India)
11,Jindal Steel and...,4.0,(2.2k Reviews),Private,"Delhi/NCR,New Delhi + 93 more",70 years old,5k-10k Employees (India)
12,Future Retail,4.2,(4.6k Reviews),Public,"San Francisco,California + 189 more",35 years old,10k-50k Employees (India)
13,Bank of America,4.4,(3k Reviews),Private,Charlotte + 25 more,24 years old,10k-50k Employees (India)
